title,alt,spotify_id,youtube_id
S'agapo,Σ' αγαπώ,,
Ta mavra matia sou,Τα μαύρα μάτια σου,,
Den ksero poso sagapo,Δεν ξέρω πόσο σ'αγαπώ,,
Beni yak her seyi yak,,,
Teliosame,Τελειώσαμε,,
Asikinim,,,
Monos mou,Μόνος μου,,
O aetos,Ο αετός,,
Leyemu sagapo,Λέγε μου σ'αγαπώ,,
Yine mi cicek,,,
Arap saci,,,
Zilevo,Ζηλεύω,,
