title,alt,spotify_id,youtube_id
Stou Thoma,Στου Θωμά,,
Teketzis,Τεκετζής,,
Laou laou,Λαού λαού,,
I koursa,Η κούρσα,,
Berber oglan,,,
Mastika,Μαστίκα,,
Giftopoula,Γυφτοπούλα,,
