title,alt,spotify_id,youtube_id
Stin angalia mou,Στην αγκαλιά μου,,
Ta omorfa ta galana sou matia,Τα όμορφα τα γαλανά σου μάτια,,
Frango,Φράγκο|Φράγκος,,
Svise to fos na koimithoume,Σβήσε το φως να κοιμηθούμε,,
O pasatempos,Ο πασατέμπος,,
Pou se Thanasi,Πού σε Θανάση,,
Barbayanni,Μπαρμπαγιάννη,,
O horos tu Sakena,Ο χορός του Σακένα,,
Hasapiko Politiko,Χασάπικο Πολίτικο,,
To sirtaki tis tavernas,Το συρτάκι της ταβέρνας,,
Mpompina,Μπομπίνα,,
Vouno me vouno,Βουνό με βουνό,,
