title,alt,spotify_id,youtube_id
Aneva sto trapezi mou,Ανέβα στο τραπέζι μου,,
Telli telli,Τέλι τέλι,,
O fadaros,Ο φάνταρος,,
Leylim yar,,,
Ti se mellei esena,Τι σε μέλλει εσένα,,
Min perimeneis pia,Μην περιμένεις πια,,
Kapetanakis,Καπετανάκης,,
Afti i nihta meni,Αυτή η νύχτα μένει,,
To baglamadaki spase,Το μπαγλαμαδάκι σπάσε,,
Hisardan inmem diyor,,,
Sto parathiri provale,Στο παραθύρι πρόβαλε,,
