title,alt,spotify_id,youtube_id
Guldaniyem,,,
To diko mu paploma,Το δικό μου πάπλωμα,,
Katsivela,Κατσιβέλα,,
I agapi mou stin Ikaria,Η αγάπη μου στην Ικαρία,,
Sirma pano,Σύρμα πάνω,,
Veggera,Βεγγέρα,,
Kale si panaya mou,Καλέ συ Παναγιά μου,,
Da bulikas,Ντα μπουλίκας,,
Silivriano,Σηλυβριανό,,
Enan kero epiyena,Έναν καιρό επήγαινα,,
