title,alt,spotify_id,youtube_id
Aman Cevriye hanim,,,
Fisai o Batis,Φυσάει ο βοριάς|Φυσά ο μπάτης,,
Hacikiriakio,Χατζηκυριάκειο,,
To diko sou to marazi,Το δικό σου το μαράζι,,
Haramata i ora tris,Χαράματα η ώρα τρεις,,
Egnatias 406,Εγνατίας 406,,
